65,"Convergents of $e$",17 Mar 26 (23:11)
50,"Consecutive Prime Sum",17 Mar 26 (21:15)
27,"Quadratic Primes",17 Mar 26 (20:10)
37,"Truncatable Primes",17 Mar 26 (19:56)
35,"Circular Primes",17 Mar 26 (18:35)
41,"Pandigital Prime",17 Mar 26 (12:12)
39,"Integer Right Triangles",16 Mar 26 (16:28)
45,"Triangular, Pentagonal, and Hexagonal",16 Mar 26 (12:53)
978,"Random Walk Skewness",16 Mar 26 (12:30)
19,"Counting Sundays",15 Mar 26 (22:15)
17,"Number Letter Counts",15 Mar 26 (20:23)
23,"Non-Abundant Sums",15 Mar 26 (18:48)
40,"Champernowne's Constant",15 Mar 26 (18:28)
494,"Collatz Prefix Families",15 Mar 26 (18:23)
125,"Palindromic Sums",15 Mar 26 (18:00)
46,"Goldbach's Other Conjecture",15 Mar 26 (16:05)
97,"Large Non-Mersenne Prime",15 Mar 26 (12:35)
836,"A Bold Proposition",14 Mar 26 (18:57)
28,"Number Spiral Diagonals",14 Mar 26 (18:53)
67,"Maximum Path Sum II",14 Mar 26 (14:03)
18,"Maximum Path Sum I",14 Mar 26 (14:02)
56,"Powerful Digit Sum",12 Mar 26 (22:39)
29,"Distinct Powers",12 Mar 26 (22:26)
15,"Lattice Paths",12 Mar 26 (22:11)
30,"Digit Fifth Powers",12 Mar 26 (21:51)
57,"Square Root Convergents",12 Mar 26 (21:33)
52,"Permuted Multiples",11 Mar 26 (19:02)
22,"Names Scores",11 Mar 26 (18:01)
36,"Double-base Palindromes",11 Mar 26 (09:09)
34,"Digit Factorials",11 Mar 26 (08:14)
21,"Amicable Numbers",11 Mar 26 (00:00)
25,"$1000$-digit Fibonacci Number",10 Mar 26 (23:00)
42,"Coded Triangle Numbers",10 Mar 26 (19:19)
48,"Self Powers",10 Mar 26 (18:51)
20,"Factorial Digit Sum",09 Mar 26 (18:46)
16,"Power Digit Sum",09 Mar 26 (18:42)
44,"Pentagon Numbers",09 Mar 26 (18:31)
13,"Large Sum",09 Mar 26 (12:22)
12,"Highly Divisible Triangular Number",09 Mar 26 (11:35)
8,"Largest Product in a Series",09 Mar 26 (01:33)
14,"Longest Collatz Sequence",09 Mar 26 (01:17)
11,"Largest Product in a Grid",09 Mar 26 (00:14)
10,"Summation of Primes",08 Mar 26 (12:25)
9,"Special Pythagorean Triplet",08 Mar 26 (11:02)
7,"10 001st Prime",08 Mar 26 (00:47)
6,"Sum Square Difference",08 Mar 26 (00:19)
5,"Smallest Multiple",08 Mar 26 (00:09)
4,"Largest Palindrome Product",07 Mar 26 (23:52)
3,"Largest Prime Factor",07 Mar 26 (23:28)
2,"Even Fibonacci Numbers",07 Mar 26 (22:34)
1,"Multiples of 3 or 5",07 Mar 26 (22:08)
